pureid,date_earliest_published,date_published,date_eprint_first_online,title,ut_authors,all_authors,orgs,dois,other_links,pagescount,pages,apc_paid_amount,date_created,file_names,other_files,article_number,item_type,year,open_access,keywords,last_modified,import_source,event,journal_title,issn,author_pureids,publisher_other,is_doaj,publisher_journal,linked_dataset_title,linked_dataset_pureid,linked_dataset_doi,linked_dataset_url
28156036,2017-01-01,2017-01-01,,Multimodal video-to-video linking: Turning to the crowd for insight and evaluation,"Aly, Robin | Ordelman, Roeland J.F.","Aly, Robin | Amsaleg, Laurent | Eskevich, Maria | Gurrin, Cathal | Guðmundsson, Gylfi Þór | Huet, Benoit | Jones, Gareth J.F. | Jónsson, Björn Þór | Larson, Martha | Ordelman, Roeland J.F. | Sabetghadam, Serwah | Satoh, Shin’ichi","Databases (Former) | Faculty of Electrical Engineering, Mathematics and Computer Science | Human Media Interaction",https://doi.org/10.1007/978-3-319-51814-5_24,,13,280-292,0.0,2017-05-12 10:09:23.412,chp%3A10.1007%2F978-3-319-51814-5_24,,,Conference contribution,2017,Closed,IR-104402 | EWI-27664,2024-01-04 16:14:06.045,researchoutputwizard,"23rd International Conference on Multimedia Modeling, MMM 2017",,,3083812 | 3122350,Springer,Not set,,,,,
28124879,2017-01-01,2017-01-01,,Multi-client Predicate-only Encryption for Conjunctive Equality Tests,"Everts, Maarten Hinderik | Jonker, Willem | Peter, Andreas | van de Kamp, Tim Robert","Everts, Maarten Hinderik | Jonker, Willem  | Peter, Andreas  | van de Kamp, Tim Robert","Datamanagement & Biometrics | Services, Cybersecurity & Safety",,,,,0.0,2018-04-16 17:05:41.654,KPE+17_cans17,,,Paper,2017,Open,,2021-01-12 05:27:11.925,,16th International Conference on Cryptology And Network Security 2017,,,3100403 | 3113351 | 3131042 | 3138495,,Not set,,,,,
28110529,2017-01-01,2017-01-01,,DECANTeR: DEteCtion of Anomalous outbouNd HTTP TRaffic by Passive Application Fingerprinting,"Bortolameotti, Riccardo  | Everts, Maarten Hinderik | Hartel, Pieter Hendrik | Jonker, Willem | Peter, Andreas | van Ede, Thijs Sebastiaan","Bortolameotti, Riccardo  | Caselli, Marco | Everts, Maarten Hinderik | Hartel, Pieter H. | Hofstede, Rick | Jonker, Willem  | Peter, Andreas  | van Ede, Thijs Sebastiaan","Datamanagement & Biometrics | Services, Cybersecurity & Safety",https://doi.org/10.1145/3134600.3134605,,,373-386,0.0,2018-04-16 17:10:57.93,p373-bortolameotti,,,Conference contribution,2017,Closed,,2024-01-04 16:01:32.383,,33nd Annual Computer Security Applications Conference 2017,,,3094405 | 3100403 | 3129783 | 3131042 | 3138495 | 22914123,,Not set,,,,,
27701207,2018-03-22,2018-03-22,,Exogenous α-synuclein hinders synaptic communication in cultured cortical primary rat neurons,"Claessens, Mireille Maria Anna Elisabeth | Hassink, Gerrit Cornelis | Raiss, Christian Carl-Michael Raiss | Segers - Nolten, Gezina M.J. | Subramaniam, Vinod | le Feber, Jakob | van Wezel, Richard Jack Anton","Claessens, M.M.A.E. | Hassink, G.C. | Raiss, C.C. | Segers-Nolten, I.M.J. | Subramaniam, V. | le Feber, J. | van Wezel, R.J.A.",Biomedical Signals and Systems | Clinical Neurophysiology | Computational Biophysics | MIRA | Nanobiophysics,https://doi.org/10.1371/journal.pone.0193763,http://www.scopus.com/inward/record.url?scp=85044519933&partnerID=8YFLogxK,21,,0.0,2018-04-12 14:25:37.967,Hassink2018exogenous,,e0193763,Article,2018,Open,,2024-01-03 02:12:22.659,Scopus,,PLoS ONE,1932-6203,3021945 | 3064988 | 3093649 | 3097487 | 3124579 | 3136712 | 3140890,,True,Public Library of Science,,,,
27682760,2016-03-17,2016-03-17,,M3Dical printing,"Boers, Tim | Broeders, Ivo Adriaan Maria Johannes","Basir, A. (Amir) | Boers, T. (Tim) | Broeders, I.A.M.J. (Ivo) | Buck, D.B. (Dominique) | van Weel, V. (Vincent)",Applied Medical Imaging & Analysis | Robotics and Mechatronics,,,,24-25,0.0,2018-04-11 15:24:18.413,Boers-Wetenschap_in_Meander-03-2016-2,,,Poster,2016,Open,,2021-07-08 05:21:49.618,,Meander Wetenschapssymposium 2016,,,3113204 | 27193670,,Not set,,,,,
27682234,2016-03-17,2016-03-17,,Dynamische MRI defecografie met rectale evacuatie versus conventionele röntgen defecografie voor verzakkingen van het achterste compartiment van de bekkenbodem,"Broeders, Ivo Adriaan Maria Johannes | Fütterer, Johannes Jacobus | van Iersel, Jan Jeroen","Broeders, I.A.M.J. (Ivo) | Consten, E.C.J. (Esther) | Formijne Jonkers, H.A. (Hendrik) | Fütterer, J. (Jurgen) | Heggelman, B.G.F. (Ben) | Somers, J I. (Inne) | Verheijen, P.M. (Paul) | van Iersel, J.J. (Jan) | van der Leest, M. (Marloes)",Robotics and Mechatronics,,,,21-22,0.0,2018-04-11 14:53:07.271,Dynamische-Wetenschap_in_Meander-03-2016,,,Poster,2016,Open,,2019-10-10 16:42:46.084,,Meander Wetenschapssymposium 2016,,,3019711 | 3035595 | 3113204,,Not set,,,,,
27681872,2016-03-17,2016-03-17,,Gedislokeerde claviculafractuur in wielrenners,"Broeders, Ivo Adriaan Maria Johannes","Broeders, I.A.M.J. (Ivo) | Timmers, T.K. (Tim) | van Olden, G.D.J. (Ger) | van der Ven, D.J.C. (Denise)",Robotics and Mechatronics,,,,20-20,0.0,2018-04-11 14:39:18.393,Ven-Wetenschap_in_Meander-03-2016-2,,,Poster,2016,Open,,2019-10-10 16:42:45.623,,Meander Wetenschapssymposium 2016,,,3113204,,Not set,,,,,
27681724,2016-03-17,2016-03-17,,Minimaal invasieve plaat osteosynthese middels VA-LCP anterieure clavicula plaat,"Broeders, Ivo Adriaan Maria Johannes","Broeders, I.A.M.J. (Ivo) | Timmers, T.K. (Tim) | van Olden, G.D.J. (Ger) | van der Ven, D.J.C. (Denise)",Robotics and Mechatronics,,,,19-19,0.0,2018-04-11 14:34:53.91,Ven-Wetenschap_in_Meander-03-2016,,,Poster,2016,Open,,2019-10-10 16:42:45.487,,Meander Wetenschapssymposium 2016,,,3113204,,Not set,,,,,
27679235,2017-01-01,2017-01-01,,IPv6-specific misconfigurations in the DNS,"Hendriks, Luuk  | Pras, Aiko | de Boer, Pieter-Tjerk","Hendriks, Luuk  | Pras, Aiko  | de Boer, Pieter-Tjerk ",Design and Analysis of Communication Systems,https://doi.org/10.23919/CNSM.2017.8256036,,5,,0.0,2018-04-10 13:39:49.202,Hendriks2017IPv6-specific,,,Conference contribution,2017,Closed,,2024-01-04 15:46:10.969,,"13th International Conference on Network and Service Management, CNSM 2017",,,3017882 | 3021320 | 3128887,IEEE,Not set,,,,,
27678379,2017-01-30,2017-01-30,,An easily fabricated three-dimensional threaded lemniscate-shaped micromixer for a wide range of flow rates,"Olthuis, Wouter | Welleweerd, Marcel Klaas","Asadnia, Mohsen  | Hassanzadeh-Barforoushi, Amin | Olthuis, Wouter  | Rafeie, Mehdi | Warkiani, Majid Ebrahimi | Welleweerd, Marcel",Biomedical and Environmental Sensorsystems | Robotics and Mechatronics,https://doi.org/10.1063/1.4974904,,15,,0.0,2018-04-11 11:21:32.017,Rafeie M. Welleweerd M.K. et al. An easily fabricated three-dimensional threaded lemniscate-shaped micromixer for a wide range of flow rates 2017 original version | Rafeie2017easily,,014108,Article,2017,Open,,2024-02-15 23:31:58.351,,,Biomicrofluidics,1932-1058,3017054 | 3041097,,False,American Institute of Physics,,,,
