author_name,author_last_name,author_first_names,author_orcid,author_isni,author_scopus_id,author_links,author_default_publishing_name,author_known_as_name,affl_start_date,affl_end_date,author_uuid,author_pureid,last_modified,affl_periods,org_names,org_uuids,org_pureids,faculty_name,faculty_uuid
"Abdel Kader, R.",Abdel Kader,R.,,0000000393925194,,,,,2006-07-01 12:00:00.0,2010-06-30 12:00:00.0,ad22785a-1828-4792-bb1a-ecb47e4045a7,3100531,2023-07-05 23:51:36.863,1/07/06 → 30/06/10,Databases (Former),7eb8f444-cad4-412c-bb39-96bc9acc2613,2989927,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abdi Vishkaee, F.",Abdi Vishkaee,F.,,,,,,,2011-09-15 12:00:00.0,2011-12-14 12:00:00.0,a2944325-c008-4730-8756-c3c6b4104ed8,3025446,2022-12-14 23:54:02.787,15/09/11 → 14/12/11,Integrated Circuit Design,72e6492f-d9ef-4e6b-81fc-3e57907fc439,2989872,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abdul Salam, Maria ",Abdul Salam,Maria,,,,,,,2018-03-01 12:00:00.0,2018-10-31 12:00:00.0,ab6fbdc7-d9e2-439f-a9f4-93bd3840a4db,24846735,2022-12-15 00:53:46.744,1/03/18 → 31/10/18,Robotics and Mechatronics,8e72ef27-5382-4352-b151-27e6826edc76,2989795,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abdulaziz, Abdulla",Abdulaziz,Abdulla,,,,,,,2015-04-07 12:00:00.0,2015-07-31 12:00:00.0,0902b337-2578-4c2b-9a65-d4809b13ebde,3055181,2022-12-15 00:34:58.835,7/04/15 → 31/07/15,Integrated Circuit Design,72e6492f-d9ef-4e6b-81fc-3e57907fc439,2989872,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abelmann, Leon",Abelmann,Leon,0000-0002-9733-1230,0000000396381647,6701807785,http://leon.manucodiata.org,,,1998-04-15 12:00:00.0 | 2003-12-01 12:00:00.0 | 2007-01-01 12:00:00.0 | 2016-01-01 12:00:00.0 | 2016-03-29 12:00:00.0 | 2021-07-01 12:00:00.0,2003-11-30 12:00:00.0 | 2006-12-31 12:00:00.0 | 2015-12-31 12:00:00.0 | 2016-03-28 12:00:00.0 | 2020-12-31 12:00:00.0 | 2023-12-31 21:30:33.328,66e649f4-340a-42e7-9c1c-22d389a04da4,3095503,2024-04-15 00:00:10.395,15/04/98 → 30/11/03 | 1/12/03 → 31/12/06 | 1/01/07 → 31/12/15 | 1/01/16 → 28/03/16 | 29/03/16 → 31/12/20 | 1/07/21 → 31/12/23,Micro Sensors and Systems | Robotics and Mechatronics | Systems and Materials for Information Storage (SMI),1ef24e54-8a53-4b6b-affb-2417ac4616f3 | 24c12552-f44b-4f7e-9dbb-a92a2dccd057 | 782e85bd-7aee-48d6-b4ce-b7fd67aa0db8 | dfab396d-ac7e-4a99-8bb6-d075cd0febb5,2989157 | 2989256 | 2989839 | 163007152,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
"Abeln, Dorus Merlijn",Abeln,Dorus Merlijn,,,,,,,2022-02-01 12:00:00.0 | 2022-02-15 12:00:00.0 | 2024-02-01 12:00:00.0,2022-02-14 21:30:02.462 | 2023-01-31 21:30:12.659,54add3d5-81b3-4c40-9506-0c10fd2fab9f,252056375,2024-02-01 21:30:30.786,1/02/22 → 14/02/22 | 15/02/22 → 31/01/23 | 1/02/24 → …,Computer Architecture Design and Test for Embedded Systems,450289e4-d268-472d-a597-f71c30576f9a,163006798,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Abendroth, D.",Abendroth,D.,,0000000025918839,,,,,2003-09-01 12:00:00.0,2004-01-31 12:00:00.0,060bff5c-f90a-4815-ac6f-bd318fbc9a2c,3071699,2022-12-15 00:38:37.407,1/09/03 → 31/01/04,Design and Analysis of Communication Systems,f7c2017e-dfde-4f5d-8260-b534709a6607,2989938,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abhishek Kumar, A.K.",Abhishek Kumar,A.K.,,,,,,,2007-03-01 12:00:00.0,2007-07-15 12:00:00.0,58fcc892-0963-4de8-8e80-611d6858bbc5,3033755,2024-04-10 23:52:35.911,1/03/07 → 15/07/07,Nano Electronics,a2600ff4-8bf8-433f-aeb3-5f1e0a3aefba,2989828,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abkar, Ali Akbar",Abkar,Ali Akbar,,0000000037523439,,,,,1900-01-01 12:00:00.0 | 1995-11-01 12:00:00.0,1998-11-01 12:00:00.0 | 2017-05-17 12:24:49.589,1e2fee30-3f50-4a38-ab02-a978e197e3bf,3056638,2024-04-11 23:54:53.48,1/01/00 → 17/05/17 | 1/11/95 → 1/11/98,Measurement and Instrumentation (MI),996430df-f3f2-4021-87f0-27e238f3c930 | a1a047f0-2b76-4e91-a553-b80adc32beb5,2985791 | 2989399,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Abnavi, Hamed",Abnavi,Hamed,,,,,,,2024-03-01 12:00:00.0,,a0ea91ab-4349-4706-adee-3acf627afa02,298306799,2024-03-01 21:30:27.387,1/03/24 → …,Power Electronics,62457ca7-5df3-4cd5-8484-6b4f7426a4bf,163006885,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
