author_name,author_last_name,author_first_names,author_orcid,author_isni,author_scopus_id,author_links,author_default_publishing_name,author_known_as_name,affl_start_date,affl_end_date,author_uuid,author_pureid,last_modified,affl_periods,org_names,org_uuids,org_pureids,faculty_name,faculty_uuid
"Devashish, D. ",Devashish,D.,0000-0002-0037-3558,0000000507093390,57194006474,,,"Devashish, D.",2013-09-01 12:00:00.0 | 2018-01-15 12:00:00.0 | 2021-04-14 12:00:00.0,2018-01-12 21:00:52.791 | 2018-01-24 21:00:46.776,dfbd6723-fe11-4b24-bf59-16eb6e21ff9d,3138817,2024-03-30 00:03:51.751,1/09/13 → 12/01/18 | 15/01/18 → 24/01/18 | 14/04/21 → … | 14/04/21 → …,Mathematics of Computational Science,b3ae0b30-f475-478a-bb7b-a319160bd619 | ecf99b69-e4ea-4f74-ba72-cfff04f26729,2988057 | 2989861,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dey, D.",Dey,D.,,0000000388691135,,,,,1999-08-01 12:00:00.0 | 2003-01-01 12:00:00.0,1999-08-01 12:00:00.0 | 2003-01-01 12:00:00.0 | 2003-06-01 12:00:00.0,0660f058-e4e6-48fb-bbdc-6593ddc3ba27,3095702,2022-12-15 00:43:12.543,1/08/99 → 1/01/03 | 1/08/99 → 1/08/99 | 1/01/03 → 1/06/03,Design and Analysis of Communication Systems | Informatica | Telematica Systemen en Services (EL),4358ddee-f456-42e0-ba66-8605325f5feb | 4f9c53e4-9032-4ddc-94e5-e6d815932a10 | f7c2017e-dfde-4f5d-8260-b534709a6607,2989201 | 2989509 | 2989938,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dhonthi Ramesh Babu, Akshay",Dhonthi Ramesh Babu,Akshay,,,,,,,2022-03-21 12:00:00.0,2022-04-06 21:30:48.643,e863f8ef-abc4-4275-ad51-b46e0b319266,277779664,2024-03-28 00:12:34.071,21/03/22 → … | 21/03/22 → 6/04/22,Formal Methods and Tools | Human Media Interaction,0269ef96-7019-4648-a82b-ce3a9371e9bb | 132c3fe4-9874-4c25-a1eb-3c1df9497f43,163006909 | 163006926,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Diakov, N.K.",Diakov,N.K.,,0000000391874784,,,,,1998-06-15 12:00:00.0 | 2003-01-01 12:00:00.0,1998-01-01 12:00:00.0 | 2003-01-01 12:00:00.0 | 2004-06-16 12:00:00.0,371495be-6529-4837-8aab-7a62d34fc198,3076618,2022-12-15 00:39:34.089,15/06/98 → 16/06/04 | 15/06/98 → 1/01/98 | 15/06/98 → 1/01/03 | 1/01/03 → 16/06/04,Architecture group (ARCH) | Architectuur van Gedistribueerde Systemen | Informatica | Telematica Systemen en Services,2247fd36-1e35-41d5-99c3-d6ad52f45ece | 4f9c53e4-9032-4ddc-94e5-e6d815932a10 | 78368201-1800-4634-92f0-ca3d82fc9adf | aa4fd5b0-f094-4ee9-9ea5-c7d1aad3b79e,2989212 | 2989509 | 2989696 | 2989707,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Diamonte, Leonardo Andres",Diamonte,Leonardo Andres,,,,,,,2022-09-29 12:00:00.0,2022-12-11 12:00:00.0,de09136b-468f-4c5e-99bb-5d5561d3c45a,286372291,2023-03-15 12:54:21.878,29/09/22 → 11/12/22,Formal Methods and Tools,132c3fe4-9874-4c25-a1eb-3c1df9497f43,163006909,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Dickinson, Peter James Clair",Dickinson,Peter James Clair,,,,,,,2014-04-01 12:00:00.0,2018-07-31 21:00:06.039,89781520-83d2-4f9a-b070-29a581029b13,3046908,2024-02-07 23:55:46.32,1/04/14 → 31/07/18,Discrete Mathematics and Mathematical Programming,f747ad65-4c82-42ab-80a3-11334208dd7f,2989916,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dieker, A.B.",Dieker,A.B.,,0000000108132057,,,,,2002-04-01 12:00:00.0,2006-03-31 12:00:00.0,7666423f-c687-400d-b992-d7a421fce61d,3075700,2024-04-03 23:55:40.18,1/04/02 → 31/03/06,Stochastic Operations Research,feb87d2b-bd3d-4343-bc74-999d4bf8a41f,2989762,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Diemeer, Martinus Bernardus Johannes",Diemeer,Martinus Bernardus Johannes,,0000000388075471,,,,"Diemeer, Mart B.J. ",2002-01-15 12:00:00.0,2007-01-14 12:00:00.0,e11c848a-1677-49a3-b156-49a303f62986,3075903,2024-04-02 23:59:44.895,15/01/02 → 14/01/07,Integrated Optical MicroSystems (IOMS),2d0d0d34-e96c-4050-ba43-711bed2901a2,2989454,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dietz, Christian",Dietz,Christian,,,,,,,2014-07-01 12:00:00.0 | 2021-11-01 12:00:00.0,2019-06-30 12:00:00.0 | 2023-04-30 21:30:03.99,ff5ec7fd-9df0-4c34-9544-2635c54d4738,267681339,2024-03-30 00:04:17.787,1/07/14 → 30/06/19 | 1/07/14 → 30/06/19 | 1/11/21 → … | 1/11/21 → 30/04/23,Design and Analysis of Communication Systems,a69aca05-7ed5-49ec-989b-35e81e6caad2 | f7c2017e-dfde-4f5d-8260-b534709a6607,2989938 | 163007217,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
"Dietzel, Stefan",Dietzel,Stefan,,0000000395134628,,,,,2010-04-01 12:00:00.0 | 2010-09-01 12:00:00.0 | 2012-04-01 12:00:00.0,2010-08-31 12:00:00.0 | 2013-02-28 12:00:00.0 | 2015-04-30 00:00:00.0,b753ff4d-eab5-43f1-8655-e315dad2384d,3060074,2024-03-12 23:52:57.04,1/04/10 → 31/08/10 | 1/09/10 → 28/02/13 | 1/04/12 → 30/04/15,Design and Analysis of Communication Systems | Distributed and Embedded Security (DIES),0913133b-827f-4fb2-9a14-3449ab225c65 | f7c2017e-dfde-4f5d-8260-b534709a6607,2989586 | 2989938,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkema, M.J.",Dijkema,M.J.,,,,,,,1994-11-01 12:00:00.0,1996-11-01 12:00:00.0,c527e62e-6d2a-4769-b53f-8bae507ff9dd,3063073,2022-12-15 00:36:48.125,1/11/94 → 1/11/96,Signals and Systems (SAS),322b894d-4c32-4cda-9c9c-8f293f1665b7,2989333,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkman, R.M.",Dijkman,R.M.,,0000000351163363,,,,,2002-01-01 12:00:00.0 | 2003-01-01 12:00:00.0 | 2005-01-01 12:00:00.0,2003-01-01 12:00:00.0 | 2004-12-31 12:00:00.0 | 2006-06-30 12:00:00.0,13ebc89c-b7bd-46ff-89e2-6a4e57396ebe,3130942,2024-03-26 00:00:57.025,1/01/02 → 1/01/03 | 1/01/03 → 31/12/04 | 1/01/05 → 30/06/06,Architecture and Services of Network Applications (ASNA) | Architecture group (ARCH) | Telematica Systemen en Services,2247fd36-1e35-41d5-99c3-d6ad52f45ece | 78368201-1800-4634-92f0-ca3d82fc9adf | d3a5c82a-e269-4930-87f3-b5b51254c09c,2989212 | 2989707 | 2989718,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkshoorn, Alexander Pascal",Dijkshoorn,Alexander Pascal,0000-0001-5041-5552,0000000509538971,,,"Dijkshoorn, Alexander","Dijkshoorn, Alexander",2019-09-01 12:00:00.0 | 2023-07-15 12:00:00.0,2021-08-31 21:30:04.938 | 2024-03-31 21:30:06.275,db97dc85-64ed-4f78-956a-71b1dba642bc,136834600,2024-04-12 23:51:31.992,1/09/19 → 31/08/21 | 1/09/19 → 31/03/24 | 1/09/19 → 31/08/21 | 15/07/23 → 31/03/24,Robotics and Mechatronics,1ef24e54-8a53-4b6b-affb-2417ac4616f3 | 29503759-c2d2-4862-b5b3-722765a6d799,163007152 | 247291780,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Dijkstra, D.",Dijkstra,D.,,0000000388236300,,,,,2000-09-01 12:00:00.0 | 2003-01-01 12:00:00.0 | 2003-10-01 12:00:00.0,2000-12-31 12:00:00.0 | 2003-10-01 12:00:00.0 | 2010-09-30 12:00:00.0,25cc07e5-09e7-4726-8811-407c4fb1b739,3034767,2024-01-07 23:50:58.277,1/09/00 → 31/12/00 | 1/01/03 → 1/10/03 | 1/10/03 → 30/09/10,Mathematical Physics & Computional Mechanics | Mathematics of Computational Science,5efbf597-36d8-4ae3-a4d5-0748a0a36377 | ecf99b69-e4ea-4f74-ba72-cfff04f26729,2989421 | 2989861,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkstra, E.A.",Dijkstra,E.A.,,0000000387814519,,,,,1999-10-01 12:00:00.0,2017-05-17 12:26:10.441,3e24bb6c-141f-42e9-8ed7-a3bdd9cb00b8,3069458,2024-04-03 23:56:00.001,1/10/99 → 17/05/17,Biomedical Signals and Systems,2f731de9-7d2c-4959-9abb-65a8d20c7841,2989674,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkstra, J.W.",Dijkstra,J.W.,,,7101611267,,,,1992-08-15 12:00:00.0 | 2001-08-02 12:00:00.0,1992-08-15 12:00:00.0 | 1997-01-01 12:00:00.0,04024fe8-d78e-4ddd-be3b-8b0eee3395e9,3040983,2022-12-15 00:22:12.378,15/08/92 → 15/08/92 | 2/08/01 → 1/01/97,Software Engineering en Theoretische informatica,2c2ca0cc-ed28-4b61-b647-2dc736ffd857 | c3ab3558-ff2f-482b-b3cf-fd7893ba854a,2987628 | 2989311,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkstra, Jorryt-Jan",Dijkstra,Jorryt-Jan,,,,,,,2018-06-01 12:00:00.0 | 2020-01-01 12:00:00.0,2020-12-31 12:00:00.0 | 2021-09-30 21:30:04.904,0d721293-369d-455b-acd2-4831ce137565,57714450,2022-12-15 00:54:41.263,1/06/18 → 31/12/20 | 1/01/20 → 30/09/21,Formal Methods and Tools,132c3fe4-9874-4c25-a1eb-3c1df9497f43,163006909,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Dijkstra, Koen ",Dijkstra,Koen,,0000000508083899,57195604144,https://www.linkedin.com/in/koen-dijkstra-76bb0167/,,,2013-03-01 12:00:00.0 | 2016-12-01 12:00:00.0,2016-08-31 12:00:00.0 | 2017-08-31 12:00:00.0,40e6c398-4e29-4449-a437-edd2a25ab6e0,3051003,2024-03-31 23:58:58.105,1/03/13 → 31/08/16 | 1/12/16 → 31/08/17,Applied Analysis,49152bc8-4cc2-4764-8807-25dd9a409dc9,2989729,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkstra, Marcel",Dijkstra,Marcel,,0000000390908532,55877297647,,,"Dijkstra, M.",2004-06-01 12:00:00.0 | 2005-03-01 12:00:00.0 | 2009-03-01 12:00:00.0 | 2012-02-01 12:00:00.0 | 2014-11-15 12:00:00.0,2005-02-28 12:00:00.0 | 2009-02-28 12:00:00.0 | 2009-08-31 12:00:00.0 | 2014-11-14 12:00:00.0 | 2015-11-14 12:00:00.0,7cf11493-8ebb-4454-9236-6765402316cf,3135481,2024-04-15 23:53:33.961,1/06/04 → 28/02/05 | 1/03/05 → 28/02/09 | 1/03/09 → 31/08/09 | 1/02/12 → 14/11/14 | 15/11/14 → 14/11/15,,96e1628e-b426-42b9-a3d7-f41897d9a3a0 | dfab396d-ac7e-4a99-8bb6-d075cd0febb5,2988024 | 2989157,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkstra, Mindert",Dijkstra,Mindert,0000-0001-9633-1637,0000000502631954,8866775900,,"Dijkstra, M. ","Dijkstra, Meindert",1998-07-01 12:00:00.0 | 2014-01-01 12:00:00.0 | 2018-01-01 12:00:00.0 | 2021-01-01 12:00:00.0 | 2021-07-01 12:00:00.0 | 2023-01-01 12:00:00.0,2013-12-31 12:00:00.0 | 2020-12-31 12:00:00.0 | 2021-11-29 21:30:16.229 | 2023-01-11 21:30:06.937,caa6dea4-5802-4b20-b0e4-063f8fd43286,3056272,2024-04-13 23:57:21.109,1/07/98 → 31/12/13 | 1/01/14 → 31/12/20 | 1/01/18 → … | 1/01/21 → 29/11/21 | 1/07/21 → 11/01/23 | 1/01/23 → …,Integrated Optical MicroSystems (IOMS),163069a8-7fef-4af7-b207-69559c1f9511 | 1a01673e-ae53-4b24-89b1-72571f5474e8 | 2d0d0d34-e96c-4050-ba43-711bed2901a2 | 65496118-aa7d-4234-8fe5-a2f95c7e15c8,2987859 | 2989454 | 247291733 | 293284193,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dijkstra, Sander",Dijkstra,Sander,,0000000502329827,,https://www.linkedin.com/in/sdijkstra95/,,,2020-08-15 12:00:00.0 | 2023-08-01 12:00:00.0,2021-08-24 21:30:09.134,4d9dd111-e6ed-437b-a7cb-d27ed1cb77af,216895619,2024-04-01 00:01:53.704,15/08/20 → 24/08/21 | 1/08/23 → …,Mathematics of Operations Research,04915ebb-5153-47f6-b208-b0ae5921baeb,163007219,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Dikken, J.B.J.",Dikken,J.B.J.,,0000000419550029,,,,,2012-09-01 12:00:00.0,2014-04-30 12:00:00.0,573e7af6-0b33-4e2c-b43d-d0c412b8f161,3018469,2022-12-14 23:50:58.505,1/09/12 → 30/04/14,Biomedical Signals and Systems,2f731de9-7d2c-4959-9abb-65a8d20c7841,2989674,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dikker, F.",Dikker,F.,,0000000388459571,,,,,1991-07-01 12:00:00.0,1995-11-01 12:00:00.0,bf2a6cad-3fe8-41c5-aad1-6253ea676aa9,3040520,2022-12-15 00:19:35.818,1/07/91 → 1/11/95,Information Systems (IS),3dce231d-2ed4-4a1d-b683-99c9d9f3fc19,2989465,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dikkers, M.P.J.M.",Dikkers,M.P.J.M.,,,,,,,1996-03-01 12:00:00.0,1996-06-01 12:00:00.0,6f91634a-6d0b-436f-baa8-9717f5acab89,3054408,2022-12-15 00:34:47.007,1/03/96 → 1/06/96,Systems and Materials for Information Storage (SMI),24c12552-f44b-4f7e-9dbb-a92a2dccd057,2989256,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dikkers, Mike Jaimie",Dikkers,Mike Jaimie,,,,,,,2015-09-01 12:00:00.0 | 2016-01-01 12:00:00.0 | 2017-07-01 12:00:00.0 | 2018-01-01 12:00:00.0 | 2018-11-01 12:00:00.0 | 2021-07-01 12:00:00.0 | 2023-07-01 12:00:00.0,2017-05-17 12:13:55.88 | 2017-10-12 21:00:55.133 | 2018-01-01 21:00:13.049 | 2018-10-31 21:00:11.319 | 2021-06-30 21:30:07.964 | 2021-11-29 21:30:47.508 | 2023-06-30 21:30:07.87,eceb4e0a-e725-4d6b-adf5-7993cc8d2409,3071863,2024-01-10 23:55:14.211,1/09/15 → 17/05/17 | 1/01/16 → 12/10/17 | 1/07/17 → 1/01/18 | 1/01/18 → 31/10/18 | 1/01/18 → 30/06/21 | 1/01/18 → … | 1/01/18 → 30/06/23 | 1/11/18 → 30/06/21 | 1/07/21 → 30/06/23 | 1/07/21 → 29/11/21 | 1/07/23 → …,Integrated Devices and Systems | Nanolab | Semiconductor Components,00ae3f7b-e36e-4db2-a8b9-b89a590370f9 | 163069a8-7fef-4af7-b207-69559c1f9511 | 18428a80-b0b4-4bcf-8273-b643a6828f08 | 8ead9fa0-ad35-46ca-b905-bcc628cbe684 | 9c720c7d-7ef8-425b-af56-da643b56b6e7,2987683 | 2989784 | 21205371 | 163007118 | 247291733,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
"Dil, B.J.",Dil,B.J.,,0000000397124490,,,,,2009-01-01 12:00:00.0 | 2013-05-01 12:00:00.0,2012-04-30 12:00:00.0 | 2014-05-31 00:00:00.0,188980f9-3b91-433f-a752-d3002d08e6fd,3085968,2024-03-31 23:53:20.865,1/01/09 → 30/04/12 | 1/05/13 → 31/05/14,Pervasive Systems,f3961495-96fc-40a8-ba11-0b039f7d6948,2989806,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dillema, F.W.",Dillema,F.W.,,0000000388356855,,,,,1994-09-15 12:00:00.0 | 2003-07-01 12:00:00.0,1991-01-01 12:00:00.0 | 1995-02-15 12:00:00.0 | 2004-07-01 12:00:00.0,9ed33f8f-5319-40a4-80ae-4caf9b92d5a3,3034649,2022-12-15 00:02:04.929,15/09/94 → 15/02/95 | 15/09/94 → 1/01/91 | 15/09/94 → 15/02/95 | 1/07/03 → 1/07/04,Communicatiesystemen | Distributed and Embedded Security (DIES) | Systeemprogrammatuur en -architectuur | Tele-informatica en Open Systemen (Informatica),0913133b-827f-4fb2-9a14-3449ab225c65 | 253a6a04-30e3-4eb5-81bb-4975d5bdf4b7 | 4453deff-ea8f-4d10-9f41-6d43ed3357a8 | b82827c4-2b04-4ccd-8e6d-f66686188b0e,2989234 | 2989267 | 2989586 | 2989630,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dilo, Arta",Dilo,Arta,,0000000393290045,,,,,2009-09-01 12:00:00.0,2011-08-31 12:00:00.0,6db37913-7182-4ba8-9567-b91cb395b3e7,3024330,2024-04-02 23:56:55.083,1/09/09 → 31/08/11,Pervasive Systems,f3961495-96fc-40a8-ba11-0b039f7d6948,2989806,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dilu George Mathew, Dilu",Dilu George Mathew,Dilu,0000-0001-7903-6695,0000000502635293,,,,"Mathew, Dilu G.",2014-10-15 12:00:00.0 | 2018-01-01 12:00:00.0 | 2019-05-01 12:00:00.0 | 2021-07-01 12:00:00.0,2019-04-30 21:00:01.541 | 2021-06-30 21:30:02.035 | 2022-07-20 21:30:03.75,401a319a-b9dc-4923-bf06-ad87c6c7b431,3088769,2024-04-06 23:51:55.068,15/10/14 → 30/04/19 | 1/01/18 → 30/06/21 | 1/05/19 → 30/06/21 | 1/07/21 → 20/07/22,Nano Electronics,163069a8-7fef-4af7-b207-69559c1f9511 | a2600ff4-8bf8-433f-aeb3-5f1e0a3aefba | fdd2baa0-ce53-447a-b0b7-9e9a13c353af,2989828 | 163007196 | 247291733,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
"Dimitrova, D.C.",Dimitrova,D.C.,,0000000394137800,,,,,2006-08-01 12:00:00.0,2010-07-31 12:00:00.0,d1ecaba5-2f79-480e-8092-84732f4faee2,3083794,2023-07-20 16:20:47.263,1/08/06 → 31/07/10,Design and Analysis of Communication Systems,f7c2017e-dfde-4f5d-8260-b534709a6607,2989938,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dimitrovski, Toni",Dimitrovski,Toni,,,,,,,2023-06-15 12:00:00.0,,7d20e9a6-5a7c-4763-86e8-17b365f652a3,320969755,2023-12-06 23:54:58.892,15/06/23 → …,Design and Analysis of Communication Systems,a69aca05-7ed5-49ec-989b-35e81e6caad2,163007217,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Dimkov, T.",Dimkov,T.,,0000000390673526,,,,,2007-11-15 12:00:00.0,2011-11-14 12:00:00.0,307ec4f9-beb3-495a-882d-247b4a23eac8,3054758,2024-02-11 23:52:23.198,15/11/07 → 14/11/11,Distributed and Embedded Security (DIES),0913133b-827f-4fb2-9a14-3449ab225c65,2989586,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dini, G.",Dini,G.,,,,,,,2001-08-02 12:00:00.0,1991-01-01 12:00:00.0,f53bf75c-bc6c-4740-b6a4-69320cbd3f41,3072434,2022-12-15 00:38:46.009,2/08/01 → 1/01/91,Systeemprogrammatuur en -architectuur,b82827c4-2b04-4ccd-8e6d-f66686188b0e,2989267,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Diolaiti, N.",Diolaiti,N.,,,,,,,2003-01-11 12:00:00.0,2003-04-12 12:00:00.0,a0187517-5530-4f35-adad-caae03cd086f,3139185,2024-04-02 23:59:04.738,11/01/03 → 12/04/03,Mathematical Systems and Control Theory (MSCT),58733ba0-90d4-44c0-90c1-54347b3dae3a,2989410,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Diouf, F.",Diouf,F.,,0000000132877227,,,,,2009-04-14 12:00:00.0,2010-09-30 12:00:00.0,1662d95a-b091-47a1-b250-8435054653ff,3105345,2023-11-04 23:57:52.808,14/04/09 → 30/09/10,Telecommunication Engineering,ce0c5641-4c50-4026-a33f-7896eadb1c42,2989751,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dirgahayu, T.",Dirgahayu,T.,,0000000396623538,,,,,2006-02-01 12:00:00.0 | 2007-08-01 12:00:00.0,2007-07-31 12:00:00.0 | 2010-04-30 12:00:00.0,4e63bbbe-6abb-4b4b-9c61-9c0666f98b99,3112395,2022-12-15 00:46:18.162,1/02/06 → 31/07/07 | 1/08/07 → 30/04/10,Architecture and Services of Network Applications (ASNA) | Information Systems (IS),3dce231d-2ed4-4a1d-b683-99c9d9f3fc19 | d3a5c82a-e269-4930-87f3-b5b51254c09c,2989465 | 2989718,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Distefano, D.S.",Distefano,D.S.,,0000000352471317,,,,,1999-05-01 12:00:00.0 | 2001-01-01 12:00:00.0,2001-01-01 12:00:00.0 | 2003-11-07 12:00:00.0,3617b439-744c-4b8a-85ff-c12db27fc62f,3107968,2023-11-16 23:57:25.4,1/05/99 → 1/01/01 | 1/01/01 → 7/11/03,Formal Methods and Tools,bb7c0a70-cbd4-46d9-9496-2156b82d4fbb,2989905,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Djohan, W.",Djohan,W.,,,,,,,1950-01-01 12:00:00.0,2000-12-31 12:00:00.0,96784834-dcc4-405a-bd78-f114b2bcd6e7,3099669,2022-12-15 00:43:55.77,1/01/50 → 31/12/00,Mathematical Physics & Computional Mechanics,5efbf597-36d8-4ae3-a4d5-0748a0a36377,2989421,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Djokovic, D.",Djokovic,D.,,,,,,,1998-03-01 12:00:00.0,1999-09-01 12:00:00.0,5493e09e-7851-4af7-b3b8-5d59fabaec09,3085887,2022-12-15 00:41:21.919,1/03/98 → 1/09/99,Mathematical Physics & Computional Mechanics,5efbf597-36d8-4ae3-a4d5-0748a0a36377,2989421,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dobbelsteijn, W.A.J.E.",Dobbelsteijn,W.A.J.E.,,,,,,,1999-11-01 12:00:00.0,2000-02-01 12:00:00.0,d65d4134-8d2d-45c1-8746-a851b185af93,3110917,2022-12-15 00:46:01.248,1/11/99 → 1/02/00,Signals and Systems (SAS),322b894d-4c32-4cda-9c9c-8f293f1665b7,2989333,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dockhorn Costa, P.",Dockhorn Costa,P.,,0000000396171121,,,,,2003-09-01 12:00:00.0 | 2005-01-01 12:00:00.0 | 2007-08-01 12:00:00.0,2004-12-31 12:00:00.0 | 2007-07-31 12:00:00.0 | 2007-08-31 12:00:00.0,fb64e17a-deef-4161-ae90-35bfa8490dd2,3014344,2024-03-28 00:09:18.0,1/09/03 → 31/12/04 | 1/01/05 → 31/07/07 | 1/08/07 → 31/08/07,Architecture and Services of Network Applications (ASNA) | Architecture group (ARCH) | Information Systems (IS),2247fd36-1e35-41d5-99c3-d6ad52f45ece | 3dce231d-2ed4-4a1d-b683-99c9d9f3fc19 | d3a5c82a-e269-4930-87f3-b5b51254c09c,2989465 | 2989707 | 2989718,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Dodangeh, Maryam",Dodangeh,Maryam,,,,,,,2019-12-01 12:00:00.0 | 2023-04-01 12:00:00.0,2021-11-30 21:30:04.172,588cb17b-3606-4c00-9661-b0ac7692a609,157479358,2023-09-05 19:13:12.098,1/12/19 → 30/11/21 | 1/12/19 → … | 1/12/19 → 30/11/21 | 1/04/23 → …,Integrated Circuit Design,163069a8-7fef-4af7-b207-69559c1f9511 | 732f8b2f-b12c-4f5a-a8d1-75c01768c3f5,163006920 | 247291733,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Doddaramegowdanakoppalu Thammaiah, Shivakumar ",Doddaramegowdanakoppalu Thammaiah,Shivakumar,0000-0002-6188-5119,000000051264824X,,https://www.linkedin.com/in/shivakumar-enthusiasm/ | https://www.researchgate.net/profile/Shivakumar-Dthammaiah,,"Thammaiah, Shivakumar D.",2017-05-01 12:00:00.0 | 2018-01-01 12:00:00.0 | 2018-11-01 12:00:00.0 | 2020-08-01 12:00:00.0,2018-01-01 21:00:25.52 | 2018-10-31 21:00:11.87 | 2020-07-31 21:00:06.066 | 2021-03-18 21:30:12.683,c2350bf4-7e5f-449d-8f61-465bf180b828,3137214,2023-09-23 23:54:19.765,1/05/17 → 1/01/18 | 1/01/18 → 31/10/18 | 1/11/18 → 31/07/20 | 1/08/20 → 18/03/21 | 1/08/20 → 18/03/21,Integrated Devices and Systems | Semiconductor Components,00ae3f7b-e36e-4db2-a8b9-b89a590370f9 | 163069a8-7fef-4af7-b207-69559c1f9511 | 52df0e20-7079-4f1f-9d05-4410ab8f0953 | 9c720c7d-7ef8-425b-af56-da643b56b6e7,2989784 | 21205371 | 163007251 | 247291733,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4 | e5bc997a-e26d-4329-a245-53fd922b32b4
