Name,Last name,First name(s),Links,Former name,Known as name,Default publishing name,Created date,Last modified date,Pure ID,ISNI,Digital author ID,Scopus Author ID,ORCID,Organisational unit name
"Akbari, Shima",Akbari,Shima,,,,,2024-03-15 21:30:28.248,2024-03-15 21:30:28.248,358390907,,,,,Robotics and Mechatronics
"Berkhout, Julian",Berkhout,Julian,,,,,2024-03-11 21:31:00.19,2024-03-11 21:31:00.19,357597707,,,,,Robotics and Mechatronics
"Zandrazavi, Seyed Farhad",Zandrazavi,Seyed Farhad,,,,,2024-03-01 21:31:15.437,2024-03-01 21:31:15.437,356109527,,,,,Power Electronics
"Fatime, Oumar Djibrillah",Fatime,Oumar Djibrillah,,,,,2024-03-01 21:30:30.212,2024-03-12 21:30:22.928,356108891,,,,,Biomedical Signals and Systems | Digital Society Institute | TechMed Centre
"Domingo Gil, Francisco José",Domingo Gil,Francisco José,,,,,2024-02-20 21:30:43.272,2024-02-20 21:30:43.272,354584827,,,,,Robotics and Mechatronics
"Wopereis, Suzan",Wopereis,Suzan,,,,,2024-02-12 21:30:38.976,2024-02-12 21:30:38.976,353107130,,,,,Biomedical Signals and Systems
"Garcia, Nil",Garcia,Nil,,,,,2024-02-06 21:30:27.959,2024-02-20 21:30:05.521,352100225,,,,,
"De Martines, Dion",De Martines,Dion,,,,,2024-02-01 21:31:56.604,2024-02-01 21:31:56.604,351371836,,,,,Biomedical Signals and Systems
"Wloka, Carsten",Wloka,Carsten,,,,,2024-02-01 21:31:48.851,2024-02-01 21:31:48.851,351371732,,,,,Biomedical and Environmental Sensorsystems
"Keizers, Thomas",Keizers,Thomas,,,,,2024-02-01 21:31:48.016,2024-02-01 21:31:48.016,351371719,,,,,Biomedical Signals and Systems
"Cui, Bo",Cui,Bo,,,,,2024-02-01 21:30:40.334,2024-02-01 21:30:40.334,351370539,,,,,Biomedical Signals and Systems
"Zanella, Riccardo",Zanella,Riccardo,,,,,2024-02-01 21:30:34.859,2024-02-18 03:16:43.896,351370464,,,57222594875,0000-0001-5764-9896,Robotics and Mechatronics
"Stergiou, Alexandros",Stergiou,Alexandros,https://alexandrosstergiou.github.io/ | https://scholar.google.com/citations?user=_E_Zs3kAAAAJ&hl=en&oi=sra,,,,2024-02-01 21:30:19.614,2024-03-14 23:57:04.913,351370171,,,57208111908,0000-0003-4706-4231,Datamanagement & Biometrics
"Hulsebos, Matthijs",Hulsebos,Matthijs,,,,,2024-02-01 21:30:19.599,2024-02-01 21:30:19.599,351370165,,,,,Biomedical Signals and Systems
"González Morgado, Antonio",González Morgado,Antonio,,,,,2024-02-01 21:30:16.717,2024-02-01 21:30:16.717,351370111,,,,,Robotics and Mechatronics
"Khademi Sharif Abad, Sepehr",Khademi Sharif Abad,Sepehr,,,,,2024-01-15 21:31:10.755,2024-01-15 21:31:10.755,348858392,,,,,Integrated Circuit Design
"Erinpurwala, Ali Asgar",Erinpurwala,Ali Asgar,,,,,2024-01-15 21:30:59.542,2024-02-13 21:30:37.624,348858332,,,,,Design and Analysis of Communication Systems | Digital Society Institute
"Chalapathi, Aditya",Chalapathi,Aditya,,,,,2024-01-15 21:30:49.995,2024-02-15 21:30:06.254,348858237,,,,,
"Fabrizio, Ginevra",Fabrizio,Ginevra,,,,,2024-01-15 21:30:39.202,2024-01-31 21:30:58.297,348858147,,,,,Design and Analysis of Communication Systems | Digital Society Institute
"de Geus, Florine",de Geus,Florine,,,,,2024-01-01 21:31:32.735,2024-01-02 00:06:45.533,346205749,,,,,Computer Architecture Design and Test for Embedded Systems
"Jutte, Anna",Jutte,Anna,,,,,2024-01-01 21:31:13.031,2024-03-14 09:46:56.051,346205403,,,,,Datamanagement & Biometrics
"Mohammadzadeh Hajipirloo, Maysam",Mohammadzadeh Hajipirloo,Maysam,,,,,2024-01-01 21:31:08.327,2024-01-02 00:06:43.857,346205280,,,,,Applied Microfluidics for BioEngineering Research
"Derla, Carol Robert",Derla,Carol Robert,,,,,2024-01-01 21:30:46.963,2024-01-02 00:06:43.082,346204899,,,,,Robotics and Mechatronics
"van de Beld, Jorn-Jan",van de Beld,Jorn-Jan,,,,,2024-01-01 21:30:34.406,2024-02-27 03:02:18.476,346204653,,,,0000-0001-6220-0508,Datamanagement & Biometrics
"Nyboe, Frederik Falk",Nyboe,Frederik Falk,,,,,2024-01-01 21:30:21.544,2024-01-02 00:06:41.062,346204295,,,,,Robotics and Mechatronics
"Pournoori, Negin",Pournoori,Negin,,,,,2023-12-10 21:30:16.501,2024-01-02 00:06:38.585,331532441,,,,,
"Lansink, Chiara",Lansink,Chiara,,,,,2023-12-04 21:30:12.784,2024-01-02 00:06:37.914,330778305,,,,,Biomedical Signals and Systems | TechMed Centre
"Teunissen, Sacha",Teunissen,Sacha,,,,,2023-12-01 21:30:54.124,2024-01-02 00:06:37.026,330410616,,,,,Biomedical Signals and Systems
"Krakers, Sanne",Krakers,Sanne,,,,,2023-12-01 21:30:54.119,2023-12-20 23:51:01.809,330410614,,,,,Biomedical Signals and Systems
"Que, Shuhao",Que,Shuhao,,,,,2023-12-01 21:30:50.51,2024-02-01 21:31:24.166,330410546,,,,,Biomedical Signals and Systems
"Bazzana, Barbara",Bazzana,Barbara,,,,,2023-12-01 21:30:24.576,2024-01-02 00:06:35.072,330410189,,,,,Robotics and Mechatronics
"Straková, Sandra",Straková,Sandra,,,,,2023-12-01 21:30:20.063,2024-01-02 00:06:34.688,330410117,,,,,Biomedical Signals and Systems | Digital Society Institute | TechMed Centre
"Indukumar, Gayatri",Indukumar,Gayatri,,,,,2023-12-01 21:30:12.396,2024-01-02 00:06:34.184,330410039,,,,,Robotics and Mechatronics
"Castellaz, Alessandro",Castellaz,Alessandro,,,,,2023-11-15 21:30:36.728,2024-01-02 00:06:32.764,328061957,,,,,Biomedical Signals and Systems
"Häselhoff, Nina",Häselhoff,Nina,,,,,2023-11-15 21:30:14.911,2024-01-02 00:06:32.233,328061859,,,,,Biomedical and Environmental Sensorsystems | MESA+ Institute
"Hendrickx, Sanne",Hendrickx,Sanne,,,,,2023-11-11 21:30:14.247,2024-01-02 00:06:31.333,327287823,,,,,Robotics and Mechatronics
"Lin, Chaohong",Lin,Chaohong,,,,,2023-11-02 21:30:14.225,2024-01-02 00:06:29.203,325894967,,,,,Biomedical and Environmental Sensorsystems
"Mizzoni, Mirko",Mizzoni,Mirko,,,,,2023-11-01 21:30:54.858,2024-01-02 00:06:28.275,325740058,,,,,Digital Society Institute | Robotics and Mechatronics
"Huiden, Jessie",Huiden,Jessie,,,,,2023-11-01 21:30:34.422,2024-01-02 00:06:25.465,325739558,,,,,Integrated Circuit Design
"Cishugi, Elijah Seth",Cishugi,Elijah Seth,,,,,2023-11-01 21:30:15.077,2024-01-02 00:06:22.835,325739141,,,,,Computer Architecture Design and Test for Embedded Systems
"Mori, Ikuko",Mori,Ikuko,,,,,2023-10-27 21:30:25.241,2024-01-02 00:06:21.162,324994046,,,,,Power Electronics
"Schwartz, Hilla",Schwartz,Hilla,,,,,2023-10-18 21:30:44.014,2024-01-02 00:06:20.397,323744222,,,,,
"Stobbelaar - van der Laan, Thelma",Stobbelaar - van der Laan,Thelma,,,,,2023-10-18 21:30:32.116,2024-02-05 21:30:43.57,323744158,,,,,Robotics and Mechatronics
"Rauwerda, Gerhardus",Rauwerda,Gerhardus,,,,,2023-10-18 21:30:16.807,2024-01-02 00:06:19.911,323744116,,,,,Computer Architecture Design and Test for Embedded Systems
"Dimitrovski, Toni",Dimitrovski,Toni,,,,,2023-10-03 21:30:52.417,2023-12-06 23:54:58.892,320969755,,,,,Design and Analysis of Communication Systems
"Bertelink, Sem",Bertelink,Sem,,,,,2023-10-03 21:30:38.988,2024-02-15 21:30:26.722,320969723,,,,,Applied Microfluidics for BioEngineering Research | TechMed Centre
"Centamore, Lorenzo",Centamore,Lorenzo,,,,,2023-10-01 21:31:41.592,2024-01-02 00:06:15.289,320831416,,,,,Biomedical Signals and Systems
"van de Logt, Esther Jennifer Margreet",van de Logt,Esther Jennifer Margreet,,,,,2023-10-01 21:31:37.547,2024-01-02 00:06:14.478,320831332,,,,,Nano Electronics
"Khan, Muzammil",Khan,Muzammil,,,,,2023-10-01 21:31:34.547,2024-01-02 00:06:14.191,320831282,,,,,Robotics and Mechatronics | TechMed Centre
"Yuan, Xin",Yuan,Xin,,,,,2023-10-01 21:31:34.406,2024-01-02 00:06:14.069,320831273,,,,,Datamanagement & Biometrics
"Borges Santos, Vitor",Borges Santos,Vitor,,,,,2023-10-01 21:31:25.361,2024-01-02 00:06:12.872,320831103,,,,,
"Singh, Sourabh",Singh,Sourabh,,,,,2023-10-01 21:31:21.021,2024-01-02 00:06:12.035,320830996,,,,,MESA+ Institute | Nano Electronics
"Yousefzadeh, Amirreza",Yousefzadeh,Amirreza,,,,,2023-10-01 21:31:01.934,2024-02-05 17:06:05.037,320830607,,,,0000-0002-2967-5090,Computer Architecture Design and Test for Embedded Systems
"Bocquet, Amélie",Bocquet,Amélie,,,,,2023-10-01 21:30:59.321,2024-01-02 00:06:10.054,320830532,,,,,Biomedical and Environmental Sensorsystems
"Cicek, Melih",Cicek,Melih,,,,,2023-10-01 21:30:55.701,2024-01-02 00:06:09.349,320830456,,,,,MESA+ Institute | Nano Electronics
"Alimawi, Madhat",Alimawi,Madhat,,,,,2023-10-01 21:30:54.272,2024-01-02 00:06:09.213,320830438,,,,,Power Electronics
"Kersjes, Rutger",Kersjes,Rutger,,,,,2023-10-01 21:30:45.066,2024-01-02 00:06:08.086,320830239,,,,,Power Electronics
"Owomugisha, Godliver",Owomugisha,Godliver,,,,,2023-09-15 21:31:05.072,2024-02-20 03:02:29.975,319995246,,,,,
"Ismail, Ahsan",Ismail,Ahsan,,,,,2023-09-15 21:30:47.492,2024-01-02 00:06:05.555,319995172,,,,,Biomedical and Environmental Sensorsystems | MESA+ Institute
"Hendriks, Remi",Hendriks,Remi,,,,,2023-09-15 21:30:47.113,2024-01-02 00:06:05.409,319995163,,,,,Design and Analysis of Communication Systems | Digital Society Institute
"Groen, Nick",Groen,Nick,,,,,2023-09-01 21:31:13.061,2024-01-02 00:06:03.343,317068990,,,,,MESA+ Institute | Nano Electronics
"Kleinsmit, Marie-Louise",Kleinsmit,Marie-Louise,,,,,2023-09-01 21:31:12.794,2024-01-02 00:06:01.784,317068890,,,,,Biomedical and Environmental Sensorsystems | MESA+ Institute
"Li, Yushuai",Li,Yushuai,,,,,2023-09-01 21:31:12.716,2024-01-02 00:06:01.436,317068865,,,,,
"Annink, Edian",Annink,Edian,,,,,2023-09-01 21:31:12.681,2024-01-31 21:30:16.298,317068848,,,,,
"Yin, Bo",Yin,Bo,,,,,2023-09-01 21:31:12.596,2024-01-02 00:06:00.777,317068821,,,,,
"Kirtas, Oguzhan",Kirtas,Oguzhan,,,,,2023-09-01 21:31:12.496,2024-01-02 00:06:00.294,317068785,,,,,
"Lin, Runwei",Lin,Runwei,,,,,2023-09-01 21:31:12.246,2024-01-26 03:02:39.945,317068693,,,,,Biomedical Signals and Systems
"Stenegren, Per Erik",Stenegren,Per Erik,,,,,2023-09-01 21:31:12.212,2024-01-02 00:05:58.584,317068680,,,,,
"Santiago de Souza, Rafael Francisco",Santiago de Souza,Rafael Francisco,,,,,2023-09-01 21:31:12.159,2024-03-01 21:31:01.229,317068666,,,,,Nano Electronics
"Briassouli, Alexia",Briassouli,Alexia,,,,,2023-09-01 21:31:10.981,2024-02-09 21:30:10.978,317068446,,,,,Datamanagement & Biometrics | Digital Society Institute
"Rietveld, Jasper",Rietveld,Jasper,,,,,2023-09-01 21:31:10.854,2024-01-02 00:05:55.029,317068436,,,,,Biomedical and Environmental Sensorsystems | MESA+ Institute
"Yan, Bixing",Yan,Bixing,,,,,2023-09-01 21:31:10.812,2024-01-02 00:05:54.909,317068425,,,,,Radio Systems
"Dao, Nguyen",Dao,Nguyen,,,,,2023-09-01 21:31:10.198,2024-01-02 00:05:53.329,317068326,,,,,Radio Systems
"Bart, Duncan",Bart,Duncan,,,,,2023-09-01 21:31:10.016,2024-01-02 00:05:53.177,317068313,,,,,Computer Architecture Design and Test for Embedded Systems
"Marzani, Fatemeh",Marzani,Fatemeh,,,,,2023-09-01 21:31:09.805,2024-01-02 00:05:52.575,317068280,,,,,Design and Analysis of Communication Systems
"Cengiz, Mehmet Faruk",Cengiz,Mehmet Faruk,,,,,2023-09-01 21:31:09.405,2024-03-15 21:30:25.462,317068238,,,,,Power Electronics
"Petricevic, Danilo",Petricevic,Danilo,,,,,2023-09-01 21:31:09.254,2024-01-02 00:05:51.819,317068220,,,,,Integrated Circuit Design
"Raman, Sujith",Raman,Sujith,,,,,2023-09-01 21:31:08.962,2024-01-02 00:05:51.687,317068203,,,,,Radio Systems
"van Harten, Anne",van Harten,Anne,,,,,2023-08-15 21:30:53.596,2024-01-02 00:05:48.356,315530548,,,,,
"Qiang, Rui",Qiang,Rui,,,,,2023-08-01 21:31:02.62,2024-01-02 00:05:47.101,313905963,,,,,Digital Society Institute | Power Electronics
"Vreman, Macy",Vreman,Macy,,,,,2023-08-01 21:31:02.502,2024-01-02 00:05:46.602,313905928,,,,,Biomedical and Environmental Sensorsystems | MESA+ Institute | TechMed Centre
"van der Bovenkamp, Dennis",van der Bovenkamp,Dennis,,,,,2023-08-01 21:31:02.014,2024-01-02 00:05:45.469,313905848,,,,,MESA+ Institute | Nano Electronics
"Chen, Nan",Chen,Nan,,,,,2023-08-01 21:31:01.878,2024-01-30 15:58:49.797,313905825,,,,,Datamanagement & Biometrics
"Asthan, Rheyuniarto Sahlendar",Asthan,Rheyuniarto Sahlendar,,,,,2023-06-30 21:30:54.294,2024-01-31 21:30:10.653,310709345,,,,,
"Anft, Niklas",Anft,Niklas,,,,,2023-06-21 21:30:42.941,2024-01-02 00:05:39.462,309935389,,,,,
"Xue, Xinting",Xue,Xinting,,,,,2023-06-21 21:30:42.941,2024-01-02 00:05:39.358,309935380,,,,,
"Rachmildha, Tri Desmana",Rachmildha,Tri Desmana,,,,,2023-06-21 21:30:42.938,2024-01-02 00:05:39.261,309935379,,,,,
"Munir, Achmad",Munir,Achmad,,,,,2023-06-15 21:30:42.731,2024-01-02 00:05:38.922,309432320,,,,,
"Fontein, Rick Lambertus Hendricus",Fontein,Rick Lambertus Hendricus,,,,,2023-06-15 21:30:42.672,2024-01-02 00:05:38.803,309432303,,,,,Design and Analysis of Communication Systems
"Hamdani, Deny",Hamdani,Deny,,,,,2023-06-15 21:30:42.658,2024-01-02 00:05:38.706,309432298,,,,,
"Bos, Jochem",Bos,Jochem,,,,,2023-06-01 21:31:12.196,2024-01-02 00:05:36.605,307381413,,,,,
"Klassen, Robyn",Klassen,Robyn,,,,,2023-06-01 21:31:12.048,2024-01-02 00:05:36.382,307381394,,,,,
"Rangelov, Dimitar",Rangelov,Dimitar,,,,,2023-06-01 21:31:12.014,2024-01-02 00:05:36.26,307381381,,,,,Datamanagement & Biometrics
"Cignoni, Mario",Cignoni,Mario,,,,,2023-06-01 21:31:11.594,2024-03-18 21:30:41.976,307381336,,,,,Nano Electronics
"Engbers, Carola",Engbers,Carola,,,,,2023-06-01 21:31:11.322,2024-01-02 00:05:35.023,307381290,0000000502835324,,57194218995,,Technical Medicine
"Figueirinhas, Miguel",Figueirinhas,Miguel,,,,,2023-06-01 21:31:11.103,2024-01-02 00:05:34.629,307381255,,,,,Power Electronics
"Kuipers, Marjon",Kuipers,Marjon,,,,,2023-05-15 21:30:42.124,2024-03-01 21:31:11.047,305531605,,,,,Robotics and Mechatronics
"Mol, Lysanne",Mol,Lysanne,,,,,2023-05-15 21:30:41.544,2024-03-11 11:33:58.713,305531580,,,,0009-0004-1400-6742,Applied Microfluidics for BioEngineering Research | MESA+ Institute | TechMed Centre
"Lintmeijer, Lotte Laura",Lintmeijer,Lotte Laura,,,,,2023-05-02 21:30:42.146,2024-01-02 00:05:30.155,304274657,,,,,
"Oude Aarninkhof, Bram",Oude Aarninkhof,Bram,,,,,2023-05-01 21:30:58.488,2024-03-14 00:01:23.859,304171508,,,,,Power Electronics
"John, Arlene",John,Arlene,https://www.linkedin.com/in/arlene-john/,,,,2023-05-01 21:30:58.256,2024-03-05 23:56:13.079,304171454,0000000513519255,,,0000-0001-7310-284X,Biomedical Signals and Systems | TechMed Centre
"Affinito, Antonia",Affinito,Antonia,,,,,2023-05-01 21:30:58.239,2024-02-14 00:00:28.919,304171449,0000000511191110,,,0000-0002-3948-7720,Design and Analysis of Communication Systems
"Siddique, Faryal",Siddique,Faryal,,,,,2023-05-01 21:30:57.854,2024-01-02 00:05:28.193,304171394,,,,,Datamanagement & Biometrics
"Zhang, Gang",Zhang,Gang,,,,,2023-05-01 21:30:57.389,2024-01-02 00:05:27.549,304171342,,,,,Power Electronics
"Iyer, Anand Krishnamurthy",Iyer,Anand Krishnamurthy,,,,,2023-04-15 21:30:55.792,2024-01-05 00:14:56.441,302721351,,,58326168300,0000-0003-0903-1738,Power Electronics
"Schipper, Johannes",Schipper,Johannes,,,,,2023-04-05 21:30:40.56,2024-01-02 00:05:24.117,301599938,,,,,Power Electronics
"Coindreau, Guillaume",Coindreau,Guillaume,,,,,2023-04-01 21:31:05.308,2024-01-02 00:05:20.537,301198342,,,,,Applied Microfluidics for BioEngineering Research | MESA+ Institute
"Oosterom, Nicole",Oosterom,Nicole,https://www.linkedin.com/in/nicole-oosterom-25085430/ | https://www.researchgate.net/profile/Nicole-Oosterom,,,,2023-03-29 21:30:37.303,2023-12-07 23:56:34.437,300937458,0000000512717225,,,0000-0002-8033-7724,Biomedical Signals and Systems
"Tijink, Melissa",Tijink,Melissa,,,,,2023-03-17 21:30:35.199,2024-01-02 00:05:19.273,299858344,,,,,Datamanagement & Biometrics
"van Hove, Koen",van Hove,Koen,,,,,2023-03-01 21:30:48.864,2024-02-16 21:30:17.576,298307145,,,,0000-0001-6574-2732,Design and Analysis of Communication Systems
"Maeki, Masatoshi",Maeki,Masatoshi,,,,,2023-03-01 21:30:48.539,2024-01-02 00:05:16.523,298307080,,,,,
"Khadka, Shyam Krishna",Khadka,Shyam Krishna,,,,,2023-03-01 21:30:47.184,2024-02-01 21:30:29.164,298306834,,,,,Design and Analysis of Communication Systems
"Abnavi, Hamed",Abnavi,Hamed,,,,,2023-03-01 21:30:46.963,2024-03-01 21:30:27.387,298306799,,,,,Power Electronics
"van der Steen, Annemarie",van der Steen,Annemarie,,,,,2023-02-08 21:30:36.167,2024-02-05 21:30:40.274,296354512,0000000512371957,,36139118300,0000-0001-8645-7586,Robotics and Mechatronics
"Ahmad, Usman",Ahmad,Usman,,,,,2023-02-01 21:30:59.545,2024-01-02 00:04:39.679,295683743,,,,,Financial Engineering
"Soltani, Jamal",Soltani,Jamal,,,,,2023-02-01 21:30:59.539,2024-02-01 21:30:42.152,295683738,,,,,Biomedical and Environmental Sensorsystems
"Ulukapi, Bulut",Ulukapi,Bulut,,,,,2023-02-01 21:30:58.882,2024-02-01 21:31:05.812,295683603,,,,,Design and Analysis of Communication Systems | Digital Society Institute
"van As, David",van As,David,,,,,2023-01-31 21:30:54.194,2024-01-02 00:04:37.005,295520774,,,,,Robotics and Mechatronics
"Liberato, Matteo",Liberato,Matteo,,,,,2023-01-15 21:30:38.694,2024-01-02 00:04:35.103,294023517,,,,,Design and Analysis of Communication Systems
"Tourounoglou, Evangelia",Tourounoglou,Evangelia,https://www.linkedin.com/in/evangelia-tourounoglou/,"Tourounoglou, Evelina",,,2023-01-12 21:30:40.219,2023-09-05 21:33:45.098,293501082,0000000509731886,,,,Power Electronics
"Rublein, Nils",Rublein,Nils,,,,,2023-01-12 21:30:39.973,2024-01-02 00:04:33.856,293501023,,,,,
"Duarte Vidal, Miguel",Duarte Vidal,Miguel,,,,,2023-01-12 21:30:39.756,2024-01-02 00:04:33.649,293501009,,,,,Biomedical and Environmental Sensorsystems
"Alharbat, Ayham",Alharbat,Ayham,,,,,2023-01-12 21:30:39.747,2024-01-26 23:52:46.108,293501004,0000000512254910,,,0000-0003-0764-395X,Robotics and Mechatronics
"Müller, Claudius",Müller,Claudius,,,,,2023-01-01 21:30:57.181,2024-03-01 21:30:35.491,291950889,,,,,MESA+ Institute | Nano Electronics
"van den Berg, Pim",van den Berg,Pim,,,,,2023-01-01 21:30:57.068,2023-09-05 21:35:05.581,291950854,,,,,MESA+ Institute | Nano Electronics
"Wouda, Frank",Wouda,Frank,,,"Wouda, Frank J.",,2023-01-01 21:30:57.037,2024-03-02 23:57:28.644,291950845,0000000502783587,,57192513835,0000-0002-4401-4434,Biomedical Signals and Systems | TechMed Centre
"Torenvlied, Hille Jaël",Torenvlied,Hille Jaël,,,,,2022-12-20 21:30:37.635,2023-09-05 21:31:05.887,290170172,,,,,Biomedical and Environmental Sensorsystems
"Hengeveld, Vera",Hengeveld,Vera,,,,,2022-12-14 21:32:03.264,2023-09-05 21:36:10.311,289367024,,,,,Biomedical Signals and Systems
"Tambone, Riccardo",Tambone,Riccardo,,,,,2022-12-09 21:30:43.806,2023-09-05 21:33:06.56,288752037,,,,,Power Electronics
"Kan, Shaohua",Kan,Shaohua,,,,,2022-12-08 21:30:48.614,2023-06-30 21:30:07.788,288716736,,,,,
"Gotink, Carine",Gotink,Carine,,,,,2022-12-01 21:31:05.698,2023-10-23 21:30:36.854,288434812,,,,,Biomedical Signals and Systems | TechMed Centre
"Bao, Junwei",Bao,Junwei,,,,,2022-12-01 21:31:05.423,2023-12-31 21:30:35.086,288434776,,,,,
"Arora, Aakash",Arora,Aakash,https://www.linkedin.com/in/aakash-arora-5b630768/,,,,2022-12-01 21:31:04.482,2024-02-29 21:30:17.115,288434626,0000000512737314,,57213901703,0000-0002-8490-7552,
"Baltus, Simon Cornelis",Baltus,Simon Cornelis,,,,,2022-11-18 21:30:45.821,2023-09-05 21:32:11.22,287982357,,,,,Robotics and Mechatronics
"Zhang, Yi",Zhang,Yi,,,,,2022-11-15 21:30:43.332,2023-11-14 21:30:06.611,287887649,,,,,
"Da Cunha Loureiro Moreira da Rocha, Manuel Maria",Da Cunha Loureiro Moreira da Rocha,Manuel Maria,,,,,2022-11-09 21:30:59.614,2023-11-02 21:30:37.77,287549906,,,,,Robotics and Mechatronics
"de Geer, Anne",de Geer,Anne,,,,,2022-11-01 21:31:01.26,2023-11-02 21:30:09.792,287296862,,,,,Robotics and Mechatronics | TechMed Centre
"Koch, Patrick",Koch,Patrick,https://www.linkedin.com/in/patrickdkoch/,,,,2022-11-01 21:31:00.734,2024-01-21 23:55:43.227,287296793,0000000512774705,,,0000-0002-5015-1304,Power Electronics
"Heel, Josef",Heel,Josef,,,,,2022-11-01 21:30:59.362,2023-11-02 21:30:32.225,287296650,,,,,Integrated Circuit Design | MESA+ Institute
"Holzreuter, Muriel",Holzreuter,Muriel,,,,,2022-11-01 21:30:59.256,2024-03-18 23:51:17.037,287296636,,,,0000-0002-7580-3049,Biomedical and Environmental Sensorsystems | MESA+ Institute
"Adhena, Hafte",Adhena,Hafte,,"Adhena, Hafte Hayelom",,,2022-10-24 21:30:43.474,2024-01-02 11:31:29.242,286973929,0000000513509436,,,0000-0002-7575-9455,Power Electronics
"Kleijsen, Femke",Kleijsen,Femke,,,,,2022-10-24 21:30:43.429,2023-10-16 21:30:06.273,286973920,,,,,Biomedical Signals and Systems
"Tinga, Angelica",Tinga,Angelica,https://www.linkedin.com/in/angeliquetinga/ | https://www.researchgate.net/profile/Angelique-Tinga,"Tinga, Angelique M.",,,2022-10-15 21:31:15.542,2024-03-08 23:52:30.825,286718681,0000000493300191,,56915969400,0000-0001-6389-8477,
"Wu, Boqian",Wu,Boqian,,,,,2022-10-05 21:30:51.697,2023-10-01 21:31:31.905,286344596,,,,,Datamanagement & Biometrics
"Slutter, Max",Slutter,Max,,,,,2022-10-03 21:31:24.153,2023-12-31 21:30:06.071,286287242,,,,,
"Mousseau, Fanny",Mousseau,Fanny,,,,,2022-10-03 21:31:23.982,2023-09-26 21:30:40.233,286287204,,,,,
"Batista Soeiro, Thiago",Batista Soeiro,Thiago,,,,,2022-10-03 21:31:23.75,2024-03-18 23:55:14.338,286287169,000000051107597X,,36509347800,0000-0002-8361-9110,Power Electronics
"Haider, Furqan",Haider,Furqan,,,,,2022-10-03 21:31:23.391,2023-09-05 21:32:01.555,286287100,,,,,Datamanagement & Biometrics
"Mogilnikov, Andrei",Mogilnikov,Andrei,,,,,2022-10-03 21:31:22.756,2023-10-02 21:30:39.089,286286981,,,,,Radio Systems
"Bhandari, Swikar",Bhandari,Swikar,,,,,2022-10-03 21:31:22.102,2023-10-02 21:31:01.41,286286888,,,,,Datamanagement & Biometrics
"Surmawala, Abdul",Surmawala,Abdul,,,,,2022-10-03 21:31:21.551,2023-07-31 21:30:10.985,286286808,,,,,
"Kayıhan, Mete",Kayıhan,Mete,,,,,2022-10-03 21:31:21.295,2023-02-02 21:30:02.441,286286757,,,,,
"Tarahomi Yousofi Sherbaf, Sousan",Tarahomi Yousofi Sherbaf,Sousan,,,,,2022-10-03 21:31:20.967,2024-01-30 14:44:26.217,286286730,,,,,Design and Analysis of Communication Systems
"Devamoglu, Utku",Devamoglu,Utku,,,,,2022-10-03 21:31:20.758,2023-10-02 21:30:36.898,286286715,,,,,Applied Microfluidics for BioEngineering Research
"Bolter, Janike",Bolter,Janike,,,,,2022-09-15 21:30:52.439,2023-09-05 21:30:50.53,285499433,,,,,Biomedical and Environmental Sensorsystems
"Tolboom, Lianne",Tolboom,Lianne,,,,,2022-09-15 21:30:52.235,2023-09-05 21:36:31.356,285499398,,,,,Biomedical Signals and Systems | Digital Society Institute | TechMed Centre
"Mr. Gómez Mora, Blas",Mr. Gómez Mora,Blas,,,"Gómez, Blas","Gómez, Blas",2022-09-15 21:30:52.221,2024-02-02 13:31:34.311,285499393,,,,,
"Jaw, Ebrima",Jaw,Ebrima,,,,,2022-09-15 21:30:52.125,2023-09-05 21:34:04.921,285499380,,,,0000-0002-5338-9764,Design and Analysis of Communication Systems
"Shavlovskyi, Dmytro",Shavlovskyi,Dmytro,,,,,2022-09-01 21:31:30.043,2023-09-05 21:35:50.86,284889654,,,,,Biomedical and Environmental Sensorsystems
"Guru Rao, Sathvik",Guru Rao,Sathvik,,,,,2022-09-01 21:31:29.273,2023-03-15 12:55:49.637,284889550,,,,,
"Varenhorst, Ivo",Varenhorst,Ivo,https://www.linkedin.com/in/ivo-varenhorst/,"Varenhorst, Ivo A.M.",,,2022-09-01 21:31:29.223,2023-09-21 09:49:05.006,284889532,0000000512733137,,,0000-0003-0543-4126,Computer Architecture Design and Test for Embedded Systems
"Cents, Remon",Cents,Remon,,,,,2022-09-01 21:31:28.948,2023-09-05 21:31:41.838,284889487,,,,,Integrated Circuit Design
"Nowak, Aleksandra Irena",Nowak,Aleksandra Irena,,,,,2022-09-01 21:31:28.751,2023-03-15 12:54:45.541,284889460,,,,,
"Ahlers, David",Ahlers,David,,,,,2022-09-01 21:31:28.671,2023-03-15 12:54:38.21,284889451,,,,,
"Shen, Yaolei",Shen,Yaolei,,,,,2022-09-01 21:31:28.533,2023-09-05 21:34:43.235,284889423,,,,,Robotics and Mechatronics
"Zhang, Yaowen",Zhang,Yaowen,,,,,2022-09-01 21:31:28.067,2023-09-05 21:34:23.715,284889357,,,,,Biomedical Signals and Systems
"Li, Peng",Li,Peng,,,,,2022-09-01 21:31:27.932,2024-03-11 23:52:08.906,284889340,,,,,
"Jayasinghe Arachchige, Jeewanie",Jayasinghe Arachchige,Jeewanie,,,,,2022-09-01 21:31:27.901,2024-03-14 23:57:09.434,284889326,,,,,"Semantics, Cybersecurity & Services"
"Passos, Andreas",Passos,Andreas,,,,,2022-09-01 21:31:27.309,2023-12-31 21:30:12.509,284889233,,,,,
