Name,Last name,First name(s),Links,Former name,Known as name,Default publishing name,Created date,Last modified date,Pure ID,ISNI,Digital author ID,Scopus Author ID,ORCID,Organisational unit name
"van Til, Janine Astrid",van Til,Janine Astrid,,,"van Til, Janine A.",,2017-05-10 13:02:02.631,2024-03-17 00:13:23.193,3138636,000000038789976X,,12804422600,0000-0002-5416-5893,Health Technology & Services Research | TechMed Centre
"Boom, H.B.K.",Boom,H.B.K.,,,,,2017-05-10 13:02:00.407,2024-03-12 23:51:12.616,3138165,000000008264511X,073859435,,,
"Lohnberg, P.",Lohnberg,P.,,,,,2017-05-10 13:01:57.788,2024-03-12 23:53:19.926,3137591,0000000387643297,073414069,,,
"Rouhidehkordi, Soheila",Rouhidehkordi,Soheila,,,,,2017-05-10 13:01:57.522,2022-12-15 00:51:06.308,3137538,,,,,
"Verhoef, B.",Verhoef,B.,,,,,2017-05-10 13:01:56.79,2022-12-15 00:51:04.599,3137419,,,,,
"Bergveld, Piet",Bergveld,Piet,,,,,2017-05-10 13:01:56.705,2024-03-14 00:03:38.47,3137402,0000000109338962,068453957,,,
"Craciun, M.F.",Craciun,M.F.,,,,,2017-05-10 13:01:56.514,2023-09-15 23:54:43.177,3137360,,,,,
"Zwartjes-de Klerk, D.G.M",Zwartjes-de Klerk,D.G.M,,"Zwartjes, D.G.M.",,,2017-05-10 13:01:56.487,2024-02-26 23:51:54.992,3137349,0000000392001248,322601983,,,
"van der Wijk, V.",van der Wijk,V.,,,"van der Wijk, Volkert",,2017-05-10 13:01:55.877,2024-01-24 23:52:11.484,3137220,0000000395074506,351983295,,,
"Post, Tjark",Post,Tjark,,,,,2017-05-10 13:01:55.318,2024-01-29 00:01:42.211,3137085,,408966564,57192987649,,
"Poel, Mannes",Poel,Mannes,,,,,2017-05-10 13:01:55.2,2024-03-17 00:09:17.52,3137054,0000000389503925,,6602776035,0000-0002-3813-9732,Datamanagement & Biometrics | Digital Society Institute
"van der Stap, Nanda",van der Stap,Nanda,https://www.linkedin.com/in/nandavanderstap/ | https://www.researchgate.net/profile/Nanda-Stap,,,,2017-05-10 13:01:54.053,2024-02-10 23:54:28.96,3136852,0000000392721050,345798341,,,Technical Medicine
"van Wezel, Richard Jack Anton",van Wezel,Richard Jack Anton,,,"van Wezel, Richard J.A.",,2017-05-10 13:01:53.499,2024-03-18 23:53:13.911,3136712,0000000389165604,,6603863756,,Biomedical Signals and Systems
"van Geijn, Elmer ",van Geijn,Elmer,https://www.linkedin.com/in/elmervangeijn/,,,,2017-05-10 13:01:53.326,2022-12-15 00:50:56.044,3136673,0000000436369002,371282551,,0000-0003-3491-4858,
"Steenbergen, P.",Steenbergen,P.,,,,,2017-05-10 13:01:52.439,2024-02-03 23:53:19.211,3136468,0000000389186464,323920888,,,
"Adiono, T.",Adiono,T.,,,,,2017-05-10 13:01:50.993,2022-12-15 00:50:50.791,3136155,,,,,
