pureid,date_earliest_published,date_published,date_eprint_first_online,title,ut_authors,all_authors,orgs,dois,other_links,pagescount,pages,apc_paid_amount,date_created,file_names,other_files,article_number,item_type,year,open_access,keywords,last_modified,import_source,event,journal_title,issn,author_pureids,publisher_other,is_doaj,publisher_journal,linked_dataset_title,linked_dataset_pureid,linked_dataset_doi,linked_dataset_url
298918095,2023-03-01,2023-03-01,,Towards a Gas Independent Thermal Flow Meter,"Azadi Kenari, Shirin | Lötters, Joost Conrad | Sanders, Remco G.P. | Wiegerink, Remco J.","Azadi Kenari, Shirin | Lötters, Joost C. | Sanders, Remco G.P. | Wiegerink, Remco J.",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1109/MEMS49605.2023.10052491,,4,767-770,0.0,2023-03-08 10:42:37.293,Article,,,Conference contribution,2023,Open,Thermal flow sensor | 2023 OA procedure | MEMS,2024-01-03 05:38:57.624,,,,,3083026 | 3093238 | 3127756 | 252028778,IEEE,Not set,,,,,
298917700,2022-01-01,2022-01-01,,Silicon Rich Silicon Nitride Microchannels to Determine Fluid Composition by Near Infrared Absorbance,"Canyelles Pericàs, Josep | Lötters, Joost Conrad | Sundararajan, Anneirudh | Wiegerink, Remco J.","Lotters, Joost C. | Pericàs, Pep Canyelles | Sundararajan, Anneirudh | Wiegerink, Remco J.",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1109/MEMS51670.2022.9699647,http://www.scopus.com/inward/record.url?scp=85126392270&partnerID=8YFLogxK,4,676-679,0.0,2023-03-08 10:33:49.841,Article,,,Conference contribution,2022,Open,Flow sensors | Microfluidic channel | SiRN | Spectral response | Near infrared | Multiparameter sensor | Surface Channel Technology (SCT) | Absorbance | Optical fibers,2024-01-05 11:36:54.831,Scopus,"35th International Conference on Micro Electro Mechanical Systems Conference, MEMS 2022",,,3083026 | 3127756 | 142995093 | 149954770,IEEE,Not set,,,,,
298908780,2022-01-01,2022-01-01,,RL-Based Guidance in Outpatient Hysteroscopy Training,"Niu, Kenan","Niu, Kenan | Poliakov, Vladimir | Poorten, Emmanuel Vander | Tsetserukou, Dzmitry",,https://doi.org/10.1109/ROBIO55434.2022.10011993,http://www.scopus.com/inward/record.url?scp=85147327401&partnerID=8YFLogxK,6,2171-2176,0.0,2023-03-08 07:54:38.545,Article,,,Conference contribution,2022,Closed,n/a OA procedure,2024-01-05 07:47:59.116,Scopus,"IEEE International Conference on Robotics and Biomimetics, ROBIO 2022",,,283503977,IEEE,Not set,,,,,
298855460,2023-02-25,2023-05-01,2023-02-25,The development of phishing during the COVID-19 pandemic,"Hoheisel, Raphael | Junger, Marianne | Sarmah, Dipti Kapoor | van Capelleveen, Guido Cornelis","Hoheisel, Raphael | Junger, Marianne | Sarmah, Dipti K. | van Capelleveen, Guido","Industrial Engineering & Business Information Systems | Semantics, Cybersecurity & Services",https://doi.org/10.1016/j.cose.2023.103158,http://www.scopus.com/inward/record.url?scp=85149662206&partnerID=8YFLogxK,17,,0.0,2023-03-07 19:09:03.402,Article,,103158,Article,2023,Open,Cybercrime | UT-Hybrid-D | Pandemic | Pattern shifts | Dutch firms | Phishing | COVID-19,2024-01-02 14:14:52.812,ORCID,,Computers & Security,0167-4048,3084164 | 3098588 | 172332641 | 291951107,,False,Elsevier,,,,
298844109,2022-11-02,2022-11-02,,Quantifying the Trade-off between latency and power consumption in Bluetooth Low Energy and its mitigation by Using a Wake-Up Receiver,"Dodangeh, Maryam | Nauta, Bram | Oude Alink, Mark Stefan","Dodangeh, Maryam | Nauta, Bram | Oude Alink, Mark Stefan",Digital Society Institute | Integrated Circuit Design | MESA+ Institute,https://doi.org/10.1109/WF-IoT54382.2022.10152115,,,,0.0,2023-03-07 15:40:21.75,Article,,,Conference contribution,2022,Open,Bluetooth low energy | Wireless Sensor Network (WSN) | Ultra low power | Power consumption | Internet of Things | Latency | Wake-Up Receiver (WuRX),2024-01-05 18:44:03.625,,8th World Forum on Internet of Things 2022,,,3043189 | 3089219 | 157479358,IEEE,Not set,,,,,
298829068,2022-01-05,2022-01-05,,Editorial: Scalable Bioinformatics,"Alachiotis, Nikolaos","Alachiotis, Nikolaos | Low, Tze Meng | Pavlidis, Pavlos",Computer Architecture Design and Test for Embedded Systems | Digital Society Institute,https://doi.org/10.3389/fgene.2021.822986,http://www.scopus.com/inward/record.url?scp=85123780024&partnerID=8YFLogxK,,,0.0,2023-03-07 12:22:16.377,Article,,822986,Editorial,2022,Open,Copy number variations | SARS–CoV–2 | Autism spectrum disorder | BLAST | SMUFIN | Basic local-alignment search tool,2024-01-05 09:42:27.027,Bibtex,,Frontiers in Genetics,1664-8021,196091272,,True,Frontiers Research Foundation,,,,
298828997,2022-01-01,2022-01-01,,Accelerated LD-based selective sweep detection using GPUs and FPGAs,"Alachiotis, Nikolaos","Alachiotis, Nikolaos | Corts, Reinout | Sterenborg, Niek",Computer Architecture Design and Test for Embedded Systems | Digital Society Institute,https://doi.org/10.1109/IPDPSW55747.2022.00044,http://www.scopus.com/inward/record.url?scp=85136209322&partnerID=8YFLogxK,10,196-205,0.0,2023-03-07 12:21:19.191,Article,,,Conference contribution,2022,Open,FPGA | Selective sweep | Linkage disequilibrium | 2023 OA procedure | GPU | OmegaPlus | Positive selection | Hardware accelerator,2024-01-05 09:07:33.419,Bibtex,"36th IEEE International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2022",,,196091272,IEEE,Not set,,,,,
298828736,2022-07-27,2022-07-27,,An Event-driven Recurrent Spiking Neural Network Architecture for Efficient Inference on FPGA,"Alachiotis, Nikolaos","Alachiotis, Nikolaos | Corradi, Federico | Detterer, Paul | Kannan, Kalpana | Sankaran, Anand",,https://doi.org/10.1145/3546790.3546802,http://www.scopus.com/inward/record.url?scp=85138337734&partnerID=8YFLogxK,8,1–8,0.0,2023-03-07 12:17:40.897,Article,,12,Conference contribution,2022,Open,FPGA | Spiking neural networks | Embedded hardware,2024-01-05 08:29:51.709,Bibtex,"International Conference on Neuromorphic Systems, ICONS 2022",,,196091272,Association for Computing Machinery,Not set,,,,,
298828611,2023-01-24,2023-02-01,2023-01-24,Improving Performance of Hardware Accelerators by Optimizing Data Movement: A Bioinformatics Case Study,"Alachiotis, Nikolaos","Alachiotis, Nikolaos | Knoben, Peter",Computer Architecture Design and Test for Embedded Systems | Digital Society Institute,https://doi.org/10.3390/electronics12030586,,,,0.0,2023-03-07 12:15:59.425,electronics-12-00586-v2,,586,Article,2023,Open,,2024-01-03 00:48:37.677,ORCID,,Electronics,1450-5843,196091272,,True,Faculty of Electrical Engineering Banja Luka,,,,
298827681,2022-10-05,2022-10-05,,A Novel Hybrid Nested Reverberation Chamber Measurement Technique for Shielding Effectiveness of Conductive Fabrics,"Aba, Rıdvan","Aba, Ridvan | Citkaya, Ahmet Yasin | Cosar, Coskun | Mersin, Mucahid Taha | Nisanci, Muhammet Hilmi | Ozdemir, Hakki Ekin | Torpi, Hamid | Ustuner, Fatih",,https://doi.org/10.1109/EMCEurope51680.2022.9901027,,5,201-205,0.0,2023-03-07 11:58:00.548,A_Novel_Hybrid_Nested_Reverberation_Chamber_Measurement_Technique_for_Shielding_Effectiveness_of_Conductive_Fabrics,,9901027,Conference contribution,2022,Closed,Antenna measurements | Reverberation chambers | Dynamic range | n/a OA procedure | Fabrics | Measurement techniques | Conductivity measurement | Frequency measurement,2024-02-06 13:21:48.284,Ieee,"2022 International Symposium on Electromagnetic Compatibility, EMC Europe 2022",,,283504732,IEEE,Not set,,,,,
